Номер_сессии,Сессия,Испытуемый,Видео,Формат_экрана,MOS,Таймкод,Разрешение,Масштаб_%,Битрейт_кбит,FPS,Дата_время,Статус
1,20260603 122623,4,2,4K,2,02:10,264×138,6.5,11925,60/1,2026-06-03 12:37:58,OK
1,20260603 122623,4,3,4K,5,00:01,4096×2160,100.0,16232,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,4,3,4K,4,00:57,1284×676,31.4,24822,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,4,3,4K,3,01:39,552×290,13.5,13924,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,4,3,4K,2,02:00,326×172,8.0,21322,60/1,2026-06-03 12:40:45,OK
1,20260603 122623,4,4,4K,5,00:01,4096×2160,100.0,12627,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,4,4,4K,4,01:22,758×400,18.5,13543,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,4,4,4K,3,01:37,552×290,13.5,9535,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,4,4,4K,2,01:53,402×212,9.8,21000,60/1,2026-06-03 12:43:31,OK
1,20260603 122623,4,1,720,5,00:08,3686×1944,90.0,30431,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,4,1,720,4,01:20,758×400,18.5,21269,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,4,1,720,3,01:45,448×236,10.9,20553,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,4,1,720,2,02:22,214×112,5.2,11782,60/1,2026-06-03 12:57:26,OK
1,20260603 122623,4,2,720,5,00:00,4096×2160,100.0,11447,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,4,2,720,4,01:23,758×400,18.5,15131,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,4,2,720,3,02:07,294×154,7.2,11643,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,4,2,720,2,02:22,214×112,5.2,19423,60/1,2026-06-03 13:00:26,OK
1,20260603 122623,4,3,720,5,00:01,4096×2160,100.0,16232,60/1,2026-06-03 13:03:24,OK
